idx,samples1,samples2
398,-1145,998
399,-1177,998
400,-1145,967
401,-1177,967
402,-1177,1030
403,-1177,967
404,-1177,998
405,-1208,1030
406,-1177,998
407,-1145,967
408,-1177,998
409,-1145,998
410,-1145,998
411,-1177,967
412,-1208,998
413,-1177,967
414,-1177,998
415,-1208,998
416,-1145,935
417,-1145,998
418,-1177,998
419,-1177,967
420,-1145,998
421,-1177,998
422,-1145,967
423,-1145,967
424,-1145,998
425,-1145,967
426,-1145,967
427,-1177,998
428,-1208,998
429,-1177,998
430,-1177,998
431,-1177,967
432,-1177,967
433,-1145,967
434,-1177,967
435,-1177,998
436,-1177,998
437,-1145,998
438,-1177,998
439,-1177,998
440,-1145,967
441,-1145,967
442,-1145,998
443,-1145,967
444,-1145,967
445,-1145,998
446,-1177,998
447,-1208,998
448,-1208,998
449,-1145,998
450,-1145,998
451,-1145,967
452,-1145,967
453,-1145,998
454,-1177,998
455,-1177,967
456,-1177,998
457,-1177,998
458,-1177,998
459,-1177,967
460,-1177,998
461,-1145,998
462,-1177,998
463,-1208,998
464,-1177,998
465,-1145,998
466,-1177,998
467,-1177,998
468,-1177,967
469,-1177,967
470,-1177,998
471,-1177,998
472,-1145,1030
473,-1145,998
474,-1145,967
475,-1145,998
476,-1145,967
477,-1145,967
478,-1177,998
479,-1208,998
480,-1177,998
481,-1177,998
482,-1208,967
483,-1177,967
484,-1114,967
485,-1145,998
486,-1177,998
487,-1177,998
488,-1145,998
489,-1177,967
490,-1177,967
491,-1145,998
492,-1145,967
493,-1145,998
494,-1177,998
495,-1177,967
496,-1177,1030
497,-1208,998
498,-1145,967
499,-1145,967
500,-1177,998
501,-1145,967
502,-1145,967
503,-1177,1030
504,-1177,998
505,-1177,967
506,-1145,967
507,-1145,967
508,-1145,967
509,-1145,967
510,-1177,967
511,-1177,998
512,-1145,967
513,-1177,967
514,-1177,998
515,-1145,998
516,-1145,998
517,-1145,998
518,-1177,998
519,-1177,998
520,-1145,998
521,-1177,967
522,-1177,998
523,-1145,967
524,-1145,967
525,-1177,998
526,-1177,998
527,-1177,998
528,-1177,998
529,-1208,998
530,-1145,967
531,-1145,967
532,-1145,998
533,-1177,998
534,-1145,998
535,-1145,967
536,-1177,998
537,-1177,998
538,-1114,998
539,-1145,998
540,-1208,998
541,-1145,967
542,-1177,967
543,-1177,998
544,-1177,935
545,-1145,998
546,-1177,1030
547,-1177,998
548,-1177,967
549,-1177,998
550,-1177,998
551,-1145,967
552,-1145,967
553,-1145,998
554,-1177,998
555,-1177,998
556,-1145,998
557,-1145,998
558,-1177,998
559,-1177,967
560,-1145,998
561,-1177,998
562,-1145,967
563,-1145,967
564,-1208,998
565,-1177,998
566,-1145,967
567,-1145,967
568,-1177,998
569,-1177,967
570,-1145,998
571,-1177,998
572,-1177,967
573,-1145,967
574,-1145,998
575,-1145,998
576,-1177,967
577,-1177,998
578,-1177,1030
579,-1177,998
580,-1177,967
581,-1145,998
582,-1145,998
583,-1208,1030
584,-1177,998
585,-1145,967
586,-1145,998
587,-1177,967
588,-1145,998
589,-1145,998
590,-1177,998
591,-1177,967
592,-1145,998
593,-1177,998
594,-1145,998
595,-1145,967
596,-1177,998
597,-1208,967
598,-1145,967
599,-1177,967
600,-1177,967
601,-1145,998
602,-1114,967
603,-1177,998
604,-1208,998
605,-1145,967
606,-1145,998
607,-1177,998
608,-1145,998
609,-1145,967
610,-1177,1030
611,-1177,998
612,-1177,998
613,-1177,998
614,-1145,967
615,-1177,998
616,-1177,998
617,-1177,998
618,-1177,998
619,-1145,998
620,-1145,967
621,-1145,998
622,-1145,998
623,-1145,998
624,-1177,967
625,-1177,998
626,-1177,935
627,-1177,967
628,-1177,998
629,-1145,998
630,-1177,998
631,-1145,967
632,-1145,935
633,-1145,967
634,-1177,998
635,-1145,998
636,-1145,998
637,-1208,998
638,-1177,967
639,-1145,998
640,-1177,998
641,-1177,998
642,-1145,967
643,-1145,1030
644,-1177,1030
645,-1177,1030
646,-1177,998
647,-1114,967
648,-1145,998
649,-1177,1030
650,-1114,1061
651,-1208,935
652,-1145,1030
653,-1145,1030
654,-1145,967
655,-1114,1061
656,-1177,935
657,-1051,1093
658,-1240,998
659,-1145,1061
660,-1208,967
661,-1145,872
662,-1114,935
663,-1240,872
664,-1114,1061
665,-1303,967
666,-1082,1093
667,-1208,967
668,-1145,935
669,-1177,935
670,-1208,904
671,-1114,967
672,-1208,967
673,-1114,967
674,-1177,998
675,-1177,904
676,-1208,1030
677,-1208,967
678,-1145,1061
679,-1208,935
680,-1145,998
681,-1240,998
682,-1145,967
683,-1145,1061
684,-1145,935
685,-1145,1061
686,-1177,904
687,-1082,1093
688,-1272,777
689,-1051,1030
690,-1272,841
691,-1114,1061
692,-1303,967
693,-1208,967
694,-1051,967
695,-1208,904
696,-1177,1061
697,-1208,935
698,-1114,967
699,-1177,1061
700,-1208,998
701,-1145,1030
702,-1208,998
703,-1145,935
704,-1177,967
705,-1208,1030
706,-1177,1061
707,-1240,967
708,-1145,1061
709,-1272,1030
710,-1145,1061
711,-1177,904
712,-1082,967
713,-1114,1030
714,-1114,967
715,-1145,967
716,-1114,967
717,-1145,1030
718,-1272,1093
719,-1145,1124
720,-1114,967
721,-1051,904
722,-1114,872
723,-1082,967
724,-1177,841
725,-1145,998
726,-1208,1093
727,-1208,1030
728,-1145,1061
729,-1177,1061
730,-1051,1061
731,-1145,935
732,-1082,1061
733,-1177,1061
734,-1114,1093
735,-1145,935
736,-1082,1061
737,-1208,935
738,-1082,1093
739,-1082,935
740,-1082,1093
741,-1208,1093
742,-1082,1061
743,-1051,1124
744,-1114,1030
745,-1051,1093
746,-1208,967
747,-988,1061
748,-1082,1030
749,-1051,1093
750,-1051,1124
751,-1114,967
752,-893,1124
753,-1177,967
754,-1019,1156
755,-1177,1093
756,-1051,1093
757,-1114,1187
758,-1051,1219
759,-1082,1093
760,-1051,1282
761,-1240,1251
762,-925,1251
763,-925,1251
764,-893,1314
765,-704,1818
766,462,2828
767,-7200,-1871
768,-32523,46669
769,-12057,16485
770,-18206,8221
771,3805,-4299
772,-10133,4342
773,-73,3805
774,367,3364
775,-6727,6486
776,714,9199
777,430,5856
778,-1681,4846
779,3143,8221
780,-1240,8063
781,620,6581
782,-672,6266
783,-1461,6234
784,-1555,5445
785,-105,5256
786,-2028,5351
787,-1997,5540
788,-2501,4783
789,-1713,3963
790,-2438,4783
791,-1366,4468
792,-1587,6392
793,-1272,5824
794,-578,4499
795,-199,6171
796,-1051,4972
797,241,6612
798,-420,5067
799,115,7212
800,-452,5351
801,-231,7212
802,-641,4657
803,-294,6139
804,-798,4531
805,-735,5698
806,-609,4405
807,-798,5162
808,-956,4909
809,-704,4625
810,-735,5319
811,-988,4594
812,-988,5225
813,-1051,5067
814,-893,5288
815,-1114,5414
816,-578,5130
817,-641,5351
818,-546,5288
819,-546,5256
820,-420,5130
821,-483,5351
822,-294,5130
823,-325,5509
824,-483,5540
825,-452,5288
826,-452,5509
827,-389,5130
828,-609,5603
829,-515,4878
830,-672,5477
831,-609,5035
832,-546,5382
833,-578,5130
834,-767,5225
835,-767,5319
836,-609,5035
837,-578,5256
838,-672,5067
839,-546,5130
840,-609,5193
841,-641,5035
842,-452,5319
843,-483,5035
844,-515,5193
845,-483,5193
846,-546,5445
847,-641,5319
848,-325,5445
849,-546,5572
850,-389,5351
851,-546,5666
852,-357,5256
853,-420,5382
854,-483,5288
855,-420,5162
856,-483,5256
857,-578,5004
858,-483,5351
859,-641,5099
860,-641,5256
861,-672,5193
862,-798,5225
863,-546,5193
864,-483,5130
865,-546,5319
866,-546,5256
867,-515,5288
868,-609,5351
869,-357,5382
870,-420,5351
871,-325,5288
872,-357,5414
873,-420,5445
874,-483,5445
875,-546,5414
876,-483,5288
877,-546,5193
878,-515,5351
879,-546,5225
880,-578,5130
881,-672,5256
882,-672,5099
883,-735,5193
884,-672,5162
885,-546,5162
886,-515,5193
887,-452,5035
888,-452,5288
889,-578,5351
890,-609,5509
891,-483,5319
892,-420,5414
893,-357,5193
894,-420,5540
895,-483,5319
896,-483,5414
897,-515,5130
898,-515,5225
899,-578,5193
900,-515,5162
901,-578,5193
902,-609,5035
903,-609,5162
904,-672,5193
905,-609,5256
906,-609,5256
907,-515,5256
908,-672,5288
909,-515,5351
910,-578,5351
911,-483,5351
912,-420,5351
913,-420,5382
914,-389,5351
915,-452,5382
916,-483,5288
917,-578,5382
918,-546,5288
919,-609,5288
920,-578,5225
921,-578,5288
922,-641,5193
923,-609,5288
924,-641,5256
925,-609,5225
926,-641,5288
927,-483,5162
928,-546,5225
929,-483,5193
930,-546,5319
931,-483,5319
932,-578,5319
933,-452,5351
934,-515,5351
935,-515,5382
936,-578,5382
937,-578,5414
938,-546,5288
939,-609,5319
940,-546,5256
941,-672,5288
942,-515,5225
943,-672,5225
944,-546,5225
945,-578,5256
946,-515,5256
947,-515,5256
948,-483,5351
949,-578,5382
950,-609,5382
951,-546,5319
952,-546,5382
953,-578,5319
954,-515,5351
955,-515,5288
956,-546,5288
957,-578,5225
958,-546,5288
959,-609,5225
960,-546,5225
961,-546,5225
962,-546,5162
963,-578,5288
964,-578,5288
965,-546,5382
966,-609,5351
967,-515,5414
968,-578,5351
969,-483,5382
970,-515,5288
971,-483,5319
972,-546,5288
973,-483,5225
974,-546,5288
975,-515,5193
976,-578,5256
977,-609,5256
978,-546,5256
979,-609,5288
980,-515,5256
981,-578,5319
982,-546,5288
983,-609,5319
984,-515,5288
985,-515,5319
986,-483,5288
987,-483,5319
988,-483,5256
989,-483,5319
990,-546,5256
991,-515,5256
992,-546,5256
993,-515,5225
994,-578,5256
995,-578,5288
996,-609,5319
997,-609,5256
998,-609,5256
999,-609,5225
1000,-578,5288
1001,-609,5288
1002,-483,5256
1003,-546,5319
1004,-452,5288
1005,-515,5351
1006,-420,5288
1007,-483,5351
1008,-483,5256
1009,-546,5351
1010,-546,5319
1011,-546,5319
1012,-546,5288
1013,-546,5225
1014,-578,5256
1015,-546,5256
1016,-578,5193
1017,-546,5225
1018,-578,5162
1019,-546,5193
1020,-515,5225
1021,-515,5256
1022,-546,5256
1023,-546,5351
1024,-546,5351
1025,-515,5351
1026,-452,5382
1027,-515,5351
1028,-483,5351
1029,-546,5382
1030,-483,5288
1031,-578,5256
1032,-546,5288
1033,-578,5256
1034,-546,5225
1035,-578,5225
1036,-578,5256
1037,-578,5193
1038,-609,5288
1039,-546,5288
1040,-578,5319
1041,-546,5225
1042,-609,5382
1043,-515,5288
1044,-546,5319
1045,-515,5351
1046,-515,5319
1047,-483,5351
1048,-483,5256
1049,-546,5256
1050,-546,5256
1051,-546,5225
1052,-546,5225
1053,-609,5225
1054,-546,5256
1055,-609,5288
1056,-609,5319
1057,-609,5319
1058,-546,5256
1059,-546,5319
1060,-578,5319
1061,-483,5319
1062,-546,5288
1063,-515,5288
1064,-515,5319
1065,-515,5288
1066,-452,5319
1067,-546,5256
1068,-515,5351
1069,-609,5288
1070,-515,5256
1071,-609,5319
1072,-515,5225
1073,-609,5288
1074,-546,5225
1075,-609,5225
1076,-515,5225
1077,-578,5288
1078,-515,5225
1079,-515,5256
1080,-515,5256
1081,-515,5319
1082,-515,5288
1083,-483,5351
1084,-546,5288
1085,-483,5319
1086,-609,5382
1087,-483,5288
1088,-641,5319
1089,-515,5288
1090,-609,5319
1091,-515,5225
1092,-641,5319
1093,-515,5193
1094,-546,5288
1095,-578,5193
1096,-483,5288
1097,-546,5288
1098,-515,5319
1099,-578,5414
1100,-515,5256
1101,-515,5414
1102,-483,5225
1103,-546,5382
1104,-546,5256
1105,-515,5319
1106,-546,5225
1107,-515,5351
1108,-578,5225
1109,-515,5256
1110,-609,5256
1111,-546,5225
1112,-609,5319
1113,-515,5256
1114,-609,5351
1115,-546,5319
1116,-578,5382
1117,-515,5351
1118,-578,5382
1119,-515,5414
1120,-546,5414
1121,-420,5382
1122,-578,5288
1123,-452,5351
1124,-609,5351
1125,-483,5319
1126,-609,5319
1127,-483,5288
1128,-609,5382
1129,-515,5256
1130,-641,5351
1131,-609,5256
1132,-578,5319
1133,-578,5288
1134,-578,5319
1135,-578,5319
1136,-546,5351
1137,-515,5288
1138,-515,5319
1139,-515,5351
1140,-483,5351
1141,-546,5319
1142,-452,5351
1143,-578,5288
1144,-546,5382
1145,-609,5319
1146,-578,5351
1147,-578,5319
1148,-546,5288
1149,-578,5319
1150,-546,5256
1151,-578,5351
1152,-578,5256
1153,-546,5288
1154,-546,5288
1155,-515,5319
1156,-515,5414
1157,-546,5319
1158,-515,5414
1159,-578,5319
1160,-483,5382
1161,-546,5351
1162,-515,5319
1163,-578,5382
1164,-546,5225
1165,-515,5351
1166,-578,5193
1167,-546,5288
1168,-578,5256
1169,-546,5288
1170,-578,5256
1171,-546,5288
1172,-515,5319
1173,-546,5288
1174,-546,5382
1175,-578,5288
1176,-515,5382
1177,-515,5414
1178,-515,5319
1179,-515,5445
1180,-515,5256
1181,-483,5319
1182,-578,5319
1183,-515,5319
1184,-578,5288
1185,-546,5256
1186,-578,5319
1187,-546,5288
1188,-578,5319
1189,-546,5319
1190,-609,5319
1191,-515,5288
1192,-546,5382
1193,-515,5319
1194,-546,5382
1195,-515,5288
1196,-515,5351
1197,-483,5319
1198,-483,5351
1199,-515,5256
1200,-515,5319
1201,-546,5319
1202,-515,5256
1203,-578,5319
1204,-515,5256
1205,-609,5351
1206,-546,5256
1207,-578,5382
1208,-546,5288
1209,-609,5414
1210,-546,5256
1211,-515,5382
1212,-546,5319
1213,-483,5351
1214,-546,5319
1215,-515,5319
1216,-546,5382
1217,-515,5351
1218,-546,5382
1219,-515,5319
1220,-609,5351
1221,-515,5319
1222,-609,5351
1223,-515,5288
1224,-641,5351
1225,-515,5193
1226,-609,5319
1227,-546,5225
1228,-546,5351
1229,-515,5193
1230,-546,5351
1231,-578,5288
1232,-483,5382
1233,-578,5351
1234,-483,5382
1235,-609,5382
1236,-483,5382
1237,-578,5382
1238,-515,5382
1239,-609,5319
1240,-546,5319
1241,-578,5319
1242,-515,5288
1243,-609,5319
1244,-515,5288
1245,-578,5288
1246,-515,5288
1247,-609,5351
1248,-546,5382
1249,-578,5382
1250,-483,5351
1251,-578,5288
1252,-483,5382
1253,-609,5351
1254,-483,5319
1255,-546,5319
1256,-483,5225
1257,-578,5319
1258,-546,5288
1259,-515,5351
1260,-578,5225
1261,-546,5319
1262,-578,5288
1263,-515,5319
1264,-609,5256
1265,-515,5351
1266,-641,5382
1267,-452,5288
1268,-609,5382
1269,-452,5288
1270,-609,5382
1271,-420,5351
1272,-578,5319
1273,-452,5319
1274,-578,5351
1275,-452,5351
1276,-609,5382
1277,-483,5319
1278,-546,5382
1279,-546,5288
1280,-546,5288
1281,-578,5256
1282,-546,5288
1283,-578,5256
